AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
-15,6000061;28,79999924;;;1,799999237;0,645;82,74510193;31;105;1274,5;16,57999992;16;-0,2858;36,89221954;0;0;0
-14,79999542;31,5;;;2,700000763;0,6307;29,41176605;31;101;1361;16,57999992;16;-0,2642;36,89221954;0;0;0
-14,80000305;33,29999924;;;1,799999237;0,6794;29,41176605;31;101;1361;16,54999924;16;-0,2802;33,72051239;0;0;0
-14,19999695;32,39999771;;;-0,900001526;0,7608;2,352941275;31;101;1144;13,15999985;16;-0,3714;31,12409973;0;0;0
-14,99999237;29,69999886;;;-2,699998856;0,9177;36,47058868;31;101;1144;13,15999985;15;-0,4671;31,12409973;0;0;0
-12,29999542;25,19999886;;;-4,5;0,9834;36,47058868;31;101;798;6,21999979;15;-0,5334;27,91969681;0;0;0
-13,3999939;20,69999886;6,05999982;115,840061;-4,5;1,0548;38,03921509;31;101;798;6,21999979;15;-0,5982;27,91969681;0;0;0
-13,20000458;17,10000038;6,344999826;117,2008155;-3,599998474;0,9012;38,03921509;31;101;797,5;6,269999981;15;-0,5244;26,45835495;0;0;0
-13,20000458;14,39999962;6,58499982;117,5595951;-2,700000763;0,9331;90,58823395;32;101;797,5;6,269999981;15;-0,5068;26,45835495;0;0;0
-11,80000305;14,39999962;6,824999813;117,8012222;0;0,9878;90,58823395;32;101;726;8,630000114;15;-0,4882;26,0041256;0;0;0
-19,80000305;14,39999962;7,064999807;117,9256968;0;1,1316;92,94117737;32;101;784;8,880000114;15;-0,6712;25,29549789;0;0;0
-21,8999939;16,19999886;7,334999788;118,4199339;1,799999237;1,221;92,94117737;32;101;784;8,880000114;15;-0,6487;25,29549789;0;0;0
-22,30000305;18;7,634999788;119,3443408;1,800001144;1,1665;3,137254953;32;101;916;7,440000057;15;-0,5961;24,21328545;0;0;0
-22,20000458;18,89999962;7,949999781;120,4062645;0,899999619;1,3047;37,64706039;32;101;916;7,440000057;15;-0,6955;24,21328545;0;0;0
-24,30000305;17,10000038;8,234999788;120,6714596;-1,799999237;1,4474;37,64706039;32;101;793,5;6,360000134;15;-0,8115;23,36562538;0;0;0
-24,6000061;15,29999924;8,489999775;120,3019257;-1,800001144;1,5868;38,03921509;32;101;798;6,239999771;15;-0,9465;23,22027969;0;0;0
-24,29999542;11,69999981;8,684999772;119,2162054;-3,599999428;1,6432;38,03921509;32;101;798;6,239999771;15;-1,0324;23,22027969;0;0;0
-22,79999542;8,099999428;8,819999762;117,9250106;-3,600000381;1,7107;37,25490189;32;101;730;6,239999771;15;-1,0325;23,22027969;0;0;0
-22,79999542;7,199999809;8,939999759;116,6363327;-0,899999619;1,9128;97,64706421;32;101;730;6,630000114;15;-0,989;23,3833065;0;0;0
-14,5;10,79999924;9,07499975;116,0164767;3,599999428;1,9735;97,64706421;33;101;891,5;9,109999657;15;-0,9364;23,29637909;0;0;0
-10,1000061;12,59999943;9,28499974;114,7863751;1,800000191;1,9857;97,64706421;33;101;891,5;9,109999657;15;-0,8741;23,29637909;0;0;0
-7,900001526;18;9,58499974;114,5209515;5,400000572;1,9721;74,90196228;33;103;1355;17,73999977;16;-0,8348;23,45933151;0;0;0
-9,699996948;21,59999847;9,944999715;115,2787816;3,599998474;1,8751;62,74509811;33;107;1355;17,73999977;16;-0,7112;23,45933151;0;0;0
-7;26,09999847;10,36499969;118,1362047;4,5;1,7788;62,74509811;33;107;1739;21,37999916;18;-0,5827;23,52676773;0;0;0
-4,699996948;28,79999924;10,82999968;122,1580605;2,700000763;1,604;0;33;104;1277;12,88000011;18;-0,5145;22,90052414;0;0;0
-2,700004578;31,5;11,35499968;127,1313236;2,700000763;1,5901;0;33;104;1277;12,88000011;17;-0,5384;22,90052414;0;0;0
-3,400001526;31,5;11,87999968;131,5439934;0;1,4526;31,37254906;33;100;1242;14,40999985;17;-0,4222;22,53281784;0;0;0
